id,career_id,skill_id,required_level,priority,suggested_project
1,1,17,Intermediate,High,Build an accessible multi-page portfolio website
2,1,5,Intermediate,High,Create a responsive e-commerce interface
3,1,18,Intermediate,High,Build an interactive task management application
4,1,28,Intermediate,High,Build a React dashboard with reusable components
5,1,2,Intermediate,High,Build a movie or weather application using an external API
6,1,12,Intermediate,Medium,Debug and improve an existing frontend application
7,2,25,Intermediate,High,Build a command-line or server-side application
8,2,4,Intermediate,High,Build a backend service with a framework
9,2,11,Intermediate,High,Build a database-driven management system
10,2,1,Intermediate,High,Create a REST API for a student or inventory system
11,2,3,Intermediate,High,Build a secure login and role-based access system
12,2,33,Intermediate,Medium,"Test, debug, and manage a backend project with Git"
13,3,15,Intermediate,High,Analyze and summarize a sales dataset
14,3,31,Intermediate,High,Query a customer or sales database
15,3,26,Intermediate,High,Analyze a real-world dataset using Python
16,3,7,Intermediate,High,Clean and prepare a messy dataset
17,3,9,Intermediate,High,Create an interactive business dashboard
18,3,32,Intermediate,High,Produce insights and recommendations from data
19,4,36,Intermediate,High,Conduct user research and define a product problem
20,4,39,Intermediate,High,Create user flows and wireframes for an application
21,4,34,Intermediate,High,Design a consistent modern website interface
22,4,16,Intermediate,High,Create an interactive high-fidelity prototype
23,4,35,Intermediate,High,Conduct usability testing and document improvements
24,4,14,Intermediate,Medium,Present and defend a complete design case study
25,5,24,Intermediate,High,Analyze and secure a small network
26,5,19,Intermediate,High,Perform security-focused Linux administration tasks
27,5,6,Intermediate,High,Create a security risk assessment for an organization
28,5,38,Intermediate,High,Review a demo web application for common security weaknesses
29,5,37,Intermediate,High,Perform a vulnerability assessment in a safe lab environment
30,5,29,Intermediate,High,Analyze security logs and create an incident response report
31,5,30,Intermediate,Medium,Automate basic security log analysis with a script
32,6,27,Intermediate,High,Build a Python-based data analysis application
33,6,21,Intermediate,High,Apply statistical concepts to an ML problem
34,6,8,Intermediate,High,Prepare and analyze a machine-learning dataset
35,6,10,Intermediate,Medium,Perform exploratory data analysis with visualizations
36,6,20,Intermediate,High,Build a prediction or classification model
37,6,23,Intermediate,High,"Train, compare, and evaluate multiple ML models"
38,6,13,Advanced,Medium,Build an image or text classification neural network
39,6,22,Intermediate,High,Develop and evaluate a model using standard ML libraries
